BBL,ADDRESS,XCOORD,YCOORD
1004370006,158 1 AVENUE,-73.984304,40.728446
1003790008,158 AVENUE C,-73.977403,40.725679
1003930001,159 AVENUE B,-73.979557,40.72692
1003920031,159 AVENUE C,-73.977871,40.725885
1004290004,16 1 AVENUE,-73.987973,40.723383
1003970007,16 AVENUE A,-73.985643,40.722693
1004370007,160 1 AVENUE,-73.984249,40.728494
1003980058,160 EAST 2 STREET,-73.98501,40.722936
1004370008,162 1 AVENUE,-73.984279,40.728581
1003820100,162 AVENUE C,-73.976473,40.726087
1004310020,162 EAST 4 STREET,-73.985692,40.724372
1004020025,162 EAST 7 STREET,-73.982157,40.725239
1003930039,163 AVENUE C,-73.977726,40.726072
1004380001,164 1 AVENUE,-73.984076,40.728749
1004040060,164 AVENUE A,-73.981866,40.728055
1004020026,164 EAST 7 STREET,-73.982085,40.725209
1004380031,165 AVENUE A,-73.982299,40.728232
1003930004,165 AVENUE B,-73.97947,40.727039
1003930038,165 AVENUE C,-73.977684,40.726129
1003970015,165 EAST 2 STREET,-73.985046,40.722441
1004380002,166 1 AVENUE,-73.984031,40.728811
1004040001,166 AVENUE A,-73.981723,40.728104
1004040032,166 AVENUE B,-73.979911,40.727215
1003980055,166 EAST 2 STREET,-73.98481,40.722852
1004020027,166 EAST 7 STREET,-73.982019,40.725181
1004380030,167 AVENUE A,-73.982257,40.72829
1003930005,167 AVENUE B,-73.979432,40.727091
1003930037,167 AVENUE C,-73.977641,40.726188
1004380003,168 1 AVENUE,-73.983988,40.72887
1004040002,168 AVENUE A,-73.981688,40.728151
1004040031,168 AVENUE B,-73.979873,40.727267
1004020028,168 EAST 7 STREET,-73.981944,40.72515
1004380029,169 AVENUE A,-73.982215,40.728347
1003930006,169 AVENUE B,-73.979394,40.727143
1003930036,169 AVENUE C,-73.977598,40.726247
1004290035,17 AVENUE A,-73.986142,40.722876
1003720037,17 AVENUE D,-73.978523,40.720631
1004380004,170 1 AVENUE,-73.983945,40.728927
1004040004,170 AVENUE A,-73.981634,40.728226
1004040030,170 AVENUE B,-73.97983,40.727327
1003980053,170 EAST 2 STREET,-73.984643,40.722782
1003980015,170 EAST 3 STREET,-73.984414,40.723026
1004380028,171 AVENUE A,-73.982173,40.728404
1003930007,171 AVENUE B,-73.979348,40.727205
1003930035,171 AVENUE C,-73.97756,40.726308
1003970018,171 EAST 2 STREET,-73.98489,40.722375
1004380005,172 1 AVENUE,-73.983908,40.728978
1004040029,172 AVENUE B,-73.979785,40.72739
1004020029,172 EAST 7 STREET,-73.981816,40.725096
1004380027,173 AVENUE A,-73.982129,40.728465
1003930008,173 AVENUE B,-73.979302,40.727269
1003930034,173 AVENUE C,-73.977519,40.726365
1003970019,173 EAST 2 STREET,-73.984811,40.722342
1003990051,173 EAST 3 STREET,-73.984085,40.723476
1004380006,174 1 AVENUE,-73.983861,40.729042
1004050001,174 AVENUE A,-73.981375,40.728524
1004040028,174 AVENUE B,-73.97974,40.727452
1003980052,174 EAST 2 STREET,-73.984543,40.722739
1003940001,175 AVENUE B,-73.979194,40.72748
1003930033,175 AVENUE C,-73.977448,40.726411
1003990050,175 EAST 3 STREET,-73.984058,40.723375
1003980051,176 EAST 2 STREET,-73.98448,40.722713
1003980018,176 EAST 3 STREET,-73.984141,40.722911
1003940002,177 AVENUE B,-73.979146,40.727545
1003990049,177 EAST 3 STREET,-73.98398,40.723342
1004380008,178 1 AVENUE,-73.983813,40.729108
1004020032,178 EAST 7 STREET,-73.981683,40.72504
1003940003,179 AVENUE B,-73.979108,40.727597
1004290005,18 1 AVENUE,-73.987914,40.723462
1003720003,18 AVENUE C,-73.980773,40.721143
1004380009,180 1 AVENUE,-73.983773,40.729162
1004390034,181 AVENUE A,-73.981953,40.728725
1003940004,181 AVENUE B,-73.979078,40.727638
1003940044,181 AVENUE C,-73.97727,40.726711
1003820022,181 AVENUE D,-73.974641,40.726684
1003970022,181 EAST 2 STREET,-73.98451,40.722218
1003990047,181 EAST 3 STREET,-73.983863,40.723293
1004390001,182 1 AVENUE,-73.983617,40.729352
1004050005,182 AVENUE A,-73.981239,40.728713
1004050035,182 AVENUE B,-73.979513,40.727825
1004390033,183 AVENUE A,-73.981865,40.728846
1003940005,183 AVENUE B,-73.979003,40.727657
1003940041,183 AVENUE C,-73.977155,40.72687
1003990044,183 EAST 3 STREET,-73.983668,40.72321
1004390002,184 1 AVENUE,-73.983569,40.729417
1003670025,184 AVENUE D,-73.973537,40.726326
1003980022,184 EAST 3 STREET,-73.983908,40.722813
1003890009,184 EAST 7 STREET,-73.981054,40.724861
1004390031,185 AVENUE A,-73.9818,40.728936
1003940010,185 AVENUE B,-73.978922,40.727819
1003970025,185 EAST 2 STREET,-73.98438,40.72216
1004390003,186 1 AVENUE,-73.983527,40.729476
1004050007,186 AVENUE A,-73.981215,40.728825
1004050034,186 AVENUE B,-73.979461,40.727897
1003890011,186 EAST 7 STREET,-73.980849,40.724553
1003900064,187 EAST 7 STREET,-73.980589,40.724975
1004390004,188 1 AVENUE,-73.983483,40.729537
1004050008,188 AVENUE A,-73.981167,40.728892
1004050033,188 AVENUE B,-73.979418,40.727958
1003820001,188 AVENUE C,-73.975842,40.726962
1003980045,188 EAST 2 STREET,-73.984059,40.722535
1003980024,188 EAST 3 STREET,-73.983795,40.722765
1004390030,189 AVENUE A,-73.981691,40.729
1003940036,189 AVENUE C,-73.97706,40.727031
1003970026,189 EAST 2 STREET,-73.984305,40.722128
1003990043,189 EAST 3 STREET,-73.98351,40.723143
1003900061,189 EAST 7 STREET,-73.980516,40.724938
1003850001,19 AVENUE B,-73.983157,40.722029
1003850040,19 AVENUE C,-73.981137,40.721266
1003720036,19 AVENUE D,-73.978494,40.720671
1004390005,190 1 AVENUE,-73.983438,40.729598
1003980043,190 EAST 2 STREET,-73.983947,40.722488
1003980025,190 EAST 3 STREET,-73.983719,40.722733
1004390028,191 AVENUE A,-73.98164,40.72907
1003970027,191 EAST 2 STREET,-73.984243,40.722103
1003990041,191 EAST 3 STREET,-73.983396,40.723095
1003900060,191 EAST 7 STREET,-73.980448,40.724922
1004390006,192 1 AVENUE,-73.983395,40.729658
1004050031,192 AVENUE B,-73.979317,40.72802
1003980026,192 EAST 3 STREET,-73.983641,40.7227
1003940038,193 AVENUE C,-73.976979,40.727069
1004000061,193 EAST 4 STREET,-73.984222,40.724242
1003900059,193 EAST 7 STREET,-73.980376,40.724904
1004390007,194 1 AVENUE,-73.983402,40.729741
1004060001,194 AVENUE A,-73.981046,40.729099
1004050030,194 AVENUE B,-73.979258,40.728101
1003980027,194 EAST 3 STREET,-73.983564,40.722668
1004400038,195 AVENUE A,-73.981508,40.729335
1003950001,195 AVENUE B,-73.978666,40.728138
1003940037,195 AVENUE C,-73.976944,40.727117
1003970029,195 EAST 2 STREET,-73.984039,40.722016
1003990040,195 EAST 3 STREET,-73.983283,40.723048
1004000060,195 EAST 4 STREET,-73.984143,40.724209
1003900058,195 EAST 7 STREET,-73.980303,40.724887
1004390008,196 1 AVENUE,-73.983354,40.729807
